"tipo_elem";distrito;id;id_cruce;"localizaci";num;"fecha_inst";utm_x;utm_y;longitud;latitud
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;6202;1601;"AVENIDA DE LA FELICIDAD";22;"2017-02-25 00:00:00";441452.64581038;4467807.630002967;-3.68950937851748;40.3587797045823
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;6203;1601;"AVENIDA  OROVILLA";54;"2017-02-25 00:00:00";441432.373091863;4467806.088509127;-3.68974797143525;40.35876439435557
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;5755;1612;"CALLE DE LA UNANIMIDAD";20;"2025-05-25 00:00:00";441407.965234023;4468106.720151066;-3.69006301549765;40.36147094577015
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;2798;1612;"AVENIDA  OROVILLA";37;"2025-05-25 00:00:00";441442.846264455;4468126.188330547;-3.68965402242001;40.36164877678899
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;5476;1612;"AVENIDA  OROVILLA";34;"2025-05-25 00:00:00";441431.523142688;4468125.563993885;-3.68978731344755;40.36164235714175
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;2799;1612;"AVENIDA  OROVILLA";34;"2025-05-25 00:00:00";441422.54553379;4468119.797474139;-3.68989250994824;40.36158977833047
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;5477;1612;"AVENIDA  OROVILLA";34;"2025-05-25 00:00:00";441429.580856134;4468119.96035521;-3.68980967250329;40.36159173986361
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;5754;1612;"AVENIDA  OROVILLA";38;"2025-05-25 00:00:00";441413.092832804;4468090.691856295;-3.69000115756102;40.36132691381897
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;2784;1641;"CALLE DE LA CIUDADANIA";22;"2025-03-28 00:00:00";441444.398811592;4467583.152609846;-3.68958589283606;40.35675690063947
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;7324;1641;"AVENIDA  OROVILLA";69;"2016-05-11 00:00:00";441456.676326099;4467560.008389331;-3.68943919166572;40.35654926573148
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;7327;1641;"CALLE DE LA CIUDADANIA";22;"2016-05-11 00:00:00";441425.42161703;4467577.351546877;-3.68980883172578;40.35670330858204
"AVISADOR ACUSTICO SIN POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;7326;1641;"CALLE DE LA CIUDADANIA";22;"2016-05-11 00:00:00";441431.526137524;4467565.394167181;-3.68973584854316;40.3565960181564
"AVISADOR ACUSTICO CON POSIBILIDAD DE CONFIGURACIÓN A DEMANDA";17;2785;1641;"AVENIDA  OROVILLA";69;"2025-03-28 00:00:00";441459.911420852;4467583.225615706;-3.68940322627529;40.35675864735249
