distrito;id;"descripcion";"fecha_inst";utm_x;utm_y;longitud;latitud
11;1041;"GTA. EJERCITO - PSO. MARCELINO CAMACHO - OCA";"23/12/1981";436791.945325904;4471092.648457273;-3.74471971630596;40.3880324176295
11;1438;"NTRA. SRA. VALVANERA - ALGODRE";"25/10/1995";437319.791382815;4471492.546836637;-3.73854045866635;40.39167476246278
11;482;"NTRA. SRA. FATIMA - NTRA. SRA. LUZ";"09/12/1971";436601.565967827;4470677.718869276;-3.74692130046776;40.38428008572347
11;1575;"VIA LUSITANA - PL. COIMBRA - P.P.";"27/04/1999";438611.404289802;4470487.603389494;-3.72322612353192;40.38271794330585
11;1571;"VIA LUSITANA - FARO";"27/04/1999";438401.029912735;4470278.193756932;-3.72568413641631;40.38081595409111
11;1570;"VIA LUSITANA 68 - P.P.";"27/04/1999";438274.361081634;4470140.463976269;-3.72716293993742;40.3795658443389
11;1567;"VIA LUSITANA 88 - P.P.";"27/04/1999";438084.110500076;4469939.579253092;-3.72938451098159;40.37774206422765
11;1568;"VIA LUSITANA - PLAZA MENINAS - P.P.";"27/04/1999";438019.198816745;4469867.919293024;-3.73014215902344;40.37709169165477
11;1573;"VIA LUSITANA - RENDICION BREDA";"27/04/1999";437950.402036897;4469791.044454881;-3.73094504782394;40.37639404679655
11;1574;"VIA LUSITANA 106 - P.P.";"27/04/1999";437842.569285578;4469671.731035236;-3.73220358553378;40.37531117892571
11;2066;"AV. ABRANTES - PORTALEGRE";"13/11/2008";438564.376583526;4470632.072870891;-3.72379405051198;40.38401592816233
11;1150;"AV. ABRANTES 79 - COLEGIO JULIAN BESTEIRO - P.P.";"17/07/1987";438191.453283302;4470272.962021837;-3.72815241719056;40.3807533050543
11;938;"AV. ABRANTES - CARRERO JUAN RAMON";"28/12/1979";438071.014350386;4470160.535506419;-3.72956024616869;40.37973157105748
11;1551;"AV. ABRANTES - ALC. BRELL";"10/11/1998";437906.690325089;4469997.304907429;-3.73148002743991;40.37824888394431
11;753;"AV. ABRANTES - BESOLLA";"07/10/1977";437658.114310121;4469735.514901483;-3.7343825021743;40.37587199730416
11;740;"CNO. VIEJO LEGANES - SAN CLEMENTE";"08/08/1977";437925.385515111;4470308.258673592;-3.73129009782556;40.38105149589186
11;741;"CNO. VIEJO LEGANES - CLARA CAMPOAMOR";"08/08/1977";437805.039167049;4470114.986560292;-3.73268890416135;40.37930143571884
11;4707;"AV. ABRANTES - COLEGIO GONZALO DE BERCEO - P.P.";"19/09/2022";438398.881023939;4470490.751882322;-3.72572999894167;40.38273062141548
8;1637;"GTA. IRENE GUTIERREZ CABA";"28/06/2000";437753.879133314;4481916.191036706;-3.73444729674944;40.48560743359776
8;1767;"GABRIELA MISTRAL - ALFONSO RGUEZ. CASTELAO";"29/08/2003";437585.708358091;4481536.124946662;-3.73639398422695;40.48217105787756
8;2168;"CERRO MINGUETE - SENDA DEL INFANTE";"15/10/2013";439064.266250347;4482042.043406322;-3.71899919358784;40.48683836713008
8;554;"AV. GUARDIA - MANUEL ALONSO P.P.";"05/03/1973";434188.809543556;4485796.45874928;-3.7769114849101;40.52028666808602
8;2050;"ARROYO DEL MONTE P.P. - GABRIELA MISTRAL";"13/06/2008";437620.883267211;4481790.718969807;-3.73600405676565;40.48446716137665
8;2024;"ROSALIA CASTRO - P.P.";"17/09/2007";437833.382921415;4481862.311295599;-3.73350401383007;40.4851280255132
8;2029;"GABRIELA  MISTRAL - BRAOJOS - P.P.";"17/09/2007";437394.934295955;4481296.646100747;-3.73862100551868;40.47999939797694
8;843;"AV. CARDENAL HERRERA ORIA - ARROYOFRESNO";"01/01/1978";437166.110376431;4480943.801134325;-3.74128551716907;40.47680358128052
8;2051;"C/ ARROYOFRESNO - AV.FUENTELARREINA - P.P.";"18/06/2008";436970.949567762;4480654.188177849;-3.74355896960955;40.47417987198659
8;1749;"GABRIELA MISTRAL - LEOPOLDO ALAS CLARIN - P.P.";"20/06/2003";437518.613077707;4481350.627338156;-3.73716726460568;40.48049499281477
