"tipo_elem";distrito;id;id_cruce;"fecha_inst";utm_x;utm_y;longitud;latitud
"other";10;61195;895;"2015-07-13 00:00:00";437433.498706567;4472043.278363702;-3.73725489694004;40.39664454316645
"other";10;61194;895;"2015-07-13 00:00:00";437440.723422347;4472039.592840889;-3.73716940878571;40.39661188510604
"other";10;61197;895;"2025-06-03 00:00:00";437438.580001813;4472044.074088603;-3.73719510417488;40.39665209312874
"other";10;61196;895;"2025-06-03 00:00:00";437434.29635848;4472047.558660883;-3.73724591910059;40.39668316187496
"other";10;61198;895;"2025-06-03 00:00:00";437441.648751932;4472043.877364809;-3.73715892693957;40.39665055147559
"other";10;4676;895;"2015-07-13 00:00:00";437409.330174072;4472019.323139957;-3.73753731066309;40.39642692802012
"other";3;49919;2159;"2013-06-24 00:00:00";443077.550461561;4472139.26570272;-3.67076110187877;40.39791414881207
"other";19;60804;4810;"2025-03-28 17:47:00";452705.845315606;4472704.319099221;-3.55735106888961;40.40360704501705
"other";19;60805;4810;"2025-03-28 17:47:00";452697.583243566;4472692.805832669;-3.55744757557371;40.40350285557629
"other";19;60826;4811;"2025-03-28 17:47:00";453079.655730444;4473302.142077737;-3.55299006705512;40.40901383128988
"other";19;60827;4811;"2025-03-28 17:47:00";453093.588601413;4473302.127143161;-3.55282586427977;40.40901448195532
"other";19;60830;4811;"2025-03-28 17:47:00";453124.09550793;4473251.773669621;-3.55246262493903;40.40856257880085
"other";19;60858;4812;"2025-03-28 17:47:00";453124.199324989;4473084.150142952;-3.5524490539971;40.40705250678501
"other";1;242;64;"1960-01-01 00:00:00";441322.16065555;4473299.739283212;-3.69155178419889;40.40824645791962
"other";1;264;96;"1960-01-01 00:00:00";441142.331880579;4473166.980967168;-3.6936587431141;40.40703780910244
"other";10;2098;1669;"2015-05-18 00:00:00";434090.565362488;4470152.478278325;-3.77644750840506;40.37935366890969
"other";10;4470;131;"2016-05-10 00:00:00";438217.191337997;4473930.91465579;-3.72820417310959;40.41370771132335
"other";8;10684;835;"1978-01-01 00:00:00";439234.681100431;4481435.023521082;-3.71693038221625;40.48138261668691
"other";8;189;1846;"2004-11-08 00:00:00";440741.942968392;4484079.051329881;-3.69939572113881;40.50530990691836
"other";14;1074;882;"1978-06-27 00:00:00";445372.878930417;4473084.929335062;-3.64379628497296;40.40658698871358
"other";2;282;158;"1966-01-14 00:00:00";441148.449038489;4472953.299801499;-3.69356689574571;40.40511329319801
"other";2;290;326;"1968-10-26 00:00:00";441021.856951839;4472986.38502262;-3.69506174834683;40.40540238354127
"other";17;58071;4721;;440118.838058826;4467297.878587987;-3.70516861020968;40.35409286726121
"other";16;54814;4532;"2018-12-26 00:00:00";445935.935982081;4481840.696858061;-3.63790617952053;40.48550049187106
"other";1;19561;542;"1972-11-30 00:00:00";440862.799166123;4475259.377431205;-3.69714743361777;40.42586732061976
"other";1;367;353;"1969-05-28 00:00:00";440298.554145911;4472951.135614243;-3.70358201278049;40.40503328672921
"other";8;54312;2234;"2018-04-25 00:00:00";438486.1810136;4482602.885317093;-3.72587411407412;40.49184797418344
"other";1;378;353;"1969-05-28 00:00:00";440425.123307821;4472910.512509408;-3.70208669808507;40.40467640014965
"other";1;379;353;"1969-05-28 00:00:00";440417.084021999;4473011.525294351;-3.70219089034524;40.40558579776079
"other";2;494;24;"1960-01-01 00:00:00";441099.91909137;4472452.232983056;-3.69409241725961;40.40059599518932
"other";2;514;23;"1960-01-01 00:00:00";441124.88753225;4472704.339693981;-3.69382152074839;40.40286886770812
"other";2;515;23;"1960-01-01 00:00:00";441121.120771228;4472716.033887076;-3.6938669892674;40.40297394862831
"other";2;517;428;"1970-11-04 00:00:00";441256.724845058;4472731.158939012;-3.69227044929828;40.4031197810443
"other";2;518;428;"1970-11-04 00:00:00";441264.023096674;4472730.568016286;-3.69218439319316;40.40311497258421
"other";2;519;428;"1970-11-04 00:00:00";441276.169309301;4472713.960809213;-3.6920397317955;40.40296622305635
"other";8;9;8;"2011-03-25 00:00:00";441132.870513792;4484620.555419568;-3.6948324484588;40.51021579358933
"other";8;46;1857;"2004-11-15 00:00:00";441335.613557059;4484487.151307952;-3.6924271959739;40.5090284063417
"other";8;53;1854;"2004-11-15 00:00:00";441079.345035428;4484318.336415491;-3.69543606304369;40.50748950080511
"other";8;54;1854;"2004-11-15 00:00:00";441073.42604405;4484312.071902134;-3.69550533658366;40.50743264748803
"other";8;55;1854;"2004-11-15 00:00:00";441076.611549022;4484301.642078281;-3.69546677041242;40.50733891829929
"other";8;56;1854;"2004-11-15 00:00:00";441088.685102243;4484293.071161767;-3.69532348004595;40.50726256599233
"other";8;57;1854;"2004-11-15 00:00:00";441099.591409834;4484295.056890649;-3.69519494785874;40.50728122854649
"other";8;58;1854;"2004-11-15 00:00:00";441104.312314141;4484302.386971187;-3.69513991323032;40.50734759562091
"other";17;58072;4722;;440090.651374595;4467156.188616885;-3.70548721385229;40.35281441956696
"other";8;59;1854;"2004-11-15 00:00:00";441102.193315356;4484313.735853348;-3.69516597743643;40.50744967983737
"other";8;61;1854;"2004-11-15 00:00:00";441089.611731381;4484322.044416673;-3.69531523945287;40.50752363289065
"other";8;62;1854;"2004-11-15 00:00:00";441076.199264097;4484297.647470888;-3.69547126450585;40.50730290421188
"other";18;61206;4843;"2025-06-16 14:31:50";446315.161420827;4469036.888714933;-3.63235069740906;40.37018091883482
"other";8;70;1855;"2004-11-15 00:00:00";441165.969305898;4484262.148721467;-3.69440849400376;40.50698949050093
"other";8;71;1855;"2004-11-15 00:00:00";441160.3622104;4484255.816184504;-3.69447408059439;40.50693204713335
